Date,TikTok,WhatsApp,Phone,Snapchat,Instagram,Linkedin,X,Youtube,Spotify,Safari,Blu TV,Netflix,Good Sorting,Trivia Crack,Water Sort,Teams,ChatGPT,Mail,MobilDeniz,Gmail,Notlar,Takvim,Garanti BBVA,Photos,Camera,Migros,Sahibinden,Beymen,Pluxee,Zara,Caffe Nero,Yemek Sepeti,Hepsiburada,PULL&BEAR,Trendyol,Sephora,Getir,Starbucks,Social,Entertainment,Games,Productivity & Finance,Creativity,Shopping,Other,Daily Total Time,00.00-06.00,06.00-12.00,12.00-18.00,18.00-00.00
2025-11-11,12.0,6.0,22.0,3.0,11.0,24.0,22.0,1.0,6.0,17.0,6,12,1.0,20.0,24.0,18.0,0.0,23.0,0.0,1.0,3.0,17.0,18.0,21.0,16.0,18.0,0.0,0.0,14.0,18.0,0.0,0.0,19.0,10.0,15.0,3.0,8.0,11.0,100,42,45,80,37,116,0,270,14.0,85.0,99.0,72.0
2025-11-12,16.0,23.0,0.0,10.0,19.0,0.0,13.0,30.0,28.0,23.0,4,2,0.0,2.0,0.0,27.0,4.0,13.0,0.0,33.0,0.0,15.0,0.0,0.0,13.0,15.0,0.0,0.0,0.0,34.0,11.0,7.0,0.0,9.0,2.0,0.0,0.0,5.0,81,87,2,92,13,83,0,282,18.0,72.0,134.0,58.0
2025-11-13,3.0,28.0,13.0,18.0,19.0,1.0,17.0,11.0,17.0,8.0,12,5,24.0,17.0,0.0,14.0,10.0,0.0,10.0,17.0,0.0,0.0,12.0,5.0,0.0,14.0,7.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,18.0,16.0,18.0,18.0,99,53,41,63,5,99,0,234,30.0,68.0,90.0,46.0
2025-11-14,20.0,1.0,11.0,17.0,0.0,9.0,1.0,9.0,11.0,16.0,8,0,2.0,6.0,18.0,18.0,19.0,0.0,15.0,7.0,10.0,16.0,0.0,9.0,17.0,19.0,20.0,0.0,17.0,21.0,21.0,10.0,0.0,1.0,14.0,16.0,2.0,2.0,59,44,26,85,26,143,0,293,11.0,118.0,103.0,61.0
2025-11-15,0.0,0.0,12.0,17.0,2.0,3.0,14.0,5.0,0.0,1.0,0,3,8.0,6.0,11.0,1.0,11.0,15.0,1.0,13.0,3.0,11.0,0.0,0.0,11.0,8.0,4.0,12.0,16.0,0.0,4.0,0.0,13.0,0.0,8.0,1.0,14.0,15.0,48,9,25,55,11,95,0,337,24.0,117.0,130.0,66.0
2025-11-16,0.0,12.0,8.0,4.0,11.0,11.0,0.0,3.0,4.0,0.0,0,8,0.0,7.0,2.0,4.0,6.0,17.0,13.0,12.0,7.0,2.0,6.0,11.0,17.0,3.0,7.0,9.0,6.0,15.0,1.0,0.0,1.0,16.0,8.0,10.0,17.0,5.0,46,15,9,67,28,98,0,317,25.0,95.0,150.0,47.0
2025-11-17,12.0,0.0,18.0,29.0,0.0,10.0,0.0,21.0,10.0,9.0,14,21,7.0,6.0,29.0,0.0,24.0,6.0,25.0,5.0,11.0,2.0,8.0,23.0,3.0,18.0,23.0,0.0,0.0,0.0,3.0,0.0,28.0,0.0,14.0,20.0,14.0,10.0,69,75,42,81,26,130,0,309,22.0,109.0,99.0,79.0
2025-11-18,5.0,8.0,22.0,0.0,0.0,9.0,0.0,1.0,1.0,16.0,18,0,12.0,0.0,1.0,17.0,0.0,4.0,11.0,13.0,0.0,0.0,10.0,0.0,20.0,11.0,20.0,0.0,8.0,13.0,12.0,0.0,0.0,10.0,10.0,1.0,12.0,0.0,44,36,13,55,20,97,0,336,24.0,111.0,125.0,76.0
2025-11-19,4.0,0.0,17.0,20.0,11.0,9.0,13.0,20.0,0.0,0.0,7,12,22.0,4.0,0.0,10.0,21.0,0.0,21.0,11.0,13.0,10.0,23.0,2.0,4.0,0.0,13.0,15.0,8.0,15.0,18.0,20.0,10.0,8.0,9.0,16.0,18.0,11.0,74,39,26,109,6,161,0,311,20.0,90.0,144.0,57.0
2025-11-20,0.0,0.0,14.0,0.0,0.0,27.0,0.0,0.0,14.0,14.0,16,3,24.0,27.0,0.0,0.0,0.0,26.0,0.0,16.0,28.0,1.0,0.0,13.0,0.0,10.0,25.0,23.0,31.0,27.0,29.0,10.0,29.0,27.0,0.0,0.0,2.0,0.0,41,47,51,71,13,213,0,250,29.0,73.0,92.0,56.0
2025-11-21,0.0,112.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,87.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,160,0,0,0,0,0,312,18.0,94.0,126.0,74.0
2025-11-22,0.0,109.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,115.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,178,0,0,0,0,0,230,12.0,85.0,86.0,47.0
2025-11-23,0.0,88.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,66.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,171,0,0,0,0,0,263,19.0,68.0,91.0,85.0
2025-11-24,,,,,,,,,,,140,150,,,,,,,,,,,,,,,,,,,,,,,,,,,0,290,0,0,0,0,0,287,22.0,89.0,128.0,48.0
2025-11-25,,,,,,,,,,,169,147,,,,,,,,,,,,,,,,,,,,,,,,,,,0,316,0,0,0,0,0,307,24.0,116.0,112.0,55.0
2025-11-26,0.0,14.0,0.0,12.0,22.0,11.0,10.0,10.0,5.0,10.0,0,15,11.0,19.0,8.0,0.0,6.0,11.0,22.0,2.0,0.0,6.0,0.0,0.0,0.0,21.0,4.0,14.0,16.0,10.0,16.0,0.0,0.0,21.0,12.0,5.0,1.0,9.0,69,40,38,47,0,129,0,245,13.0,71.0,82.0,79.0
2025-11-27,18.0,0.0,32.0,18.0,6.0,2.0,16.0,2.0,27.0,7.0,10,14,25.0,16.0,8.0,12.0,12.0,0.0,28.0,27.0,11.0,2.0,12.0,1.0,19.0,0.0,12.0,12.0,17.0,0.0,0.0,18.0,0.0,17.0,14.0,2.0,2.0,1.0,92,60,49,104,20,95,0,256,23.0,91.0,81.0,61.0
2025-11-28,6.0,0.0,4.0,0.0,20.0,0.0,7.0,18.0,12.0,12.0,17,19,4.0,14.0,3.0,9.0,14.0,7.0,0.0,6.0,18.0,10.0,20.0,0.0,3.0,0.0,13.0,0.0,0.0,20.0,7.0,3.0,6.0,19.0,13.0,7.0,14.0,0.0,37,78,21,84,3,102,0,278,22.0,80.0,90.0,86.0
2025-11-29,5.0,1.0,7.0,11.0,11.0,12.0,17.0,0.0,1.0,0.0,16,0,16.0,16.0,6.0,16.0,0.0,0.0,1.0,8.0,15.0,16.0,3.0,0.0,9.0,0.0,6.0,0.0,0.0,6.0,5.0,18.0,11.0,16.0,16.0,0.0,8.0,17.0,64,17,38,59,9,103,0,251,22.0,73.0,113.0,43.0
2025-11-30,0.0,1.0,8.0,0.0,26.0,17.0,28.0,21.0,5.0,30.0,14,9,0.0,13.0,14.0,14.0,3.0,0.0,27.0,0.0,21.0,11.0,8.0,0.0,21.0,14.0,1.0,0.0,0.0,0.0,0.0,12.0,11.0,23.0,8.0,11.0,0.0,1.0,80,79,27,84,21,81,0,301,15.0,115.0,129.0,42.0
